"Naam";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"Hoog";"Laag";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"11 Mar 2017";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"STRADIM ESPAC.FIN";"FR0000074775";"ALSAS";"Alternext Paris";"EUR";"6,62";"6,62";"6,62";"6,62";"10/03/2017 15:30";"CET";"520";"3442,40"
"STREAMWIDE";"FR0010528059";"ALSTW";"Alternext Paris";"EUR";"5,91";"5,91";"5,91";"5,91";"10/03/2017 15:30";"CET";"1";"5,91"
"STREAMWIDE BS";"FR0012790756";"STWDS";"Alternext Paris";"EUR";"0,01";"0,01";"0,01";"0,01";"09/02/2017 15:06";"CET";"562";"5,62"
"STREIT MECANIQUE";"FR0000063976";"MLSTR";"Marché Libre Paris";"EUR";"9,00";"9,00";"9,00";"9,00";"15/02/2017 15:00";"CET";"5";"45,00"
"SUCRAF A & B";"BE0003463685";"SUCR";"Euronext Brussels";"EUR";"2,15";"2,15";"2,15";"2,15";"17/01/2017 11:30";"CET";"5";"10,75"
"SUEZ";"FR0010613471";"SEV";"Euronext Paris, Brussels";"EUR";"13,80";"13,885";"13,68";"13,705";"10/03/2017 17:35";"CET";"1536471";"21134717,275"
"SUMO RESOURCES PLC";"GB00B8GJBS16";"MLSUM";"Marché Libre Paris";"EUR";"0,09";"0,09";"0,09";"0,09";"10/03/2017 15:00";"CET";"11000";"990,00"
"SUMOL+COMPAL";"PTSML0AM0009";"SUCO";"Euronext Lisbon";"EUR";"1,449";"1,48";"1,449";"1,48";"10/03/2017 16:07";"GMT";"21364";"31180,965"
"SUPERSONIC IMAGINE";"FR0010526814";"SSI";"Euronext Paris";"EUR";"1,94";"1,98";"1,93";"1,97";"10/03/2017 15:59";"CET";"7089";"13819,12"
"SV PATRIMONIA";"BE0003861789";"SVP";"Marché Libre Brussels";"EUR";"0,55";"0,55";"0,55";"0,55";"03/03/2017 15:00";"CET";"500";"275,00"
